P	x1	T	y1	K1	K2	Gamma1	Gamma2
4	0,6	376,9245	0,687944	1,146573	0,7801399	1,172752	1,39833
4	0,65	376,6294	0,712061	1,095478	0,8226829	1,130703	1,486676
4	0,7	376,4124	0,7377172	1,053881	0,8742774	1,09506	1,589444
4	0,75	376,2785	0,7658752	1,021167	0,9364991	1,065454	1,7089
4	0,8	376,2405	0,7977019	0,9971276	1,011489	1,041594	1,847691
4	0,85	376,3199	0,8346782	0,9819743	1,102146	1,023257	2,008861
4	0,9	376,5493	0,8787588	0,9763987	1,212412	1,010282	2,195827
4	0,95	376,975	0,9326143	0,9816993	1,347713	1,002558	2,412284
4	1	377,6611	1	0,9999997	1,515619	1	2,661977
4,5	0	404,521	0	4,431637	1	2,327162	1
4,5	0,05	398,4053	0,17703	3,540601	0,8662842	2,189871	1,001989
4,5	0,1	394,0813	0,2944869	2,944869	0,7839034	2,051638	1,008193
4,5	0,15	390,9124	0,378074	2,520494	0,7316776	1,919532	1,018917
4,5	0,2	388,5278	0,4408209	2,204105	0,6989738	1,796794	1,034454
4,5	0,25	386,6962	0,4900188	1,960075	0,6799749	1,684655	1,055134
4,5	0,3	385,2657	0,5300738	1,766913	0,6713231	1,583298	1,081362
4,5	0,35	384,1323	0,563826	1,610931	0,671037	1,492374	1,113637
4,5	0,4	383,2232	0,593217	1,483042	0,6779717	1,411286	1,152572
4,5	0,45	382,4864	0,6196545	1,377011	0,6915363	1,339348	1,198924
4,5	0,5	381,885	0,6442283	1,288456	0,711544	1,275871	1,253612
4,5	0,55	381,3927	0,667839	1,214253	0,7381356	1,22021	1,317751
4,5	0,6	380,9925	0,6912984	1,152164	0,771754	1,171782	1,392685
4,5	0,65	380,6746	0,7153972	1,100611	0,813151	1,130085	1,480022
4,5	0,7	380,4364	0,7409713	1,05853	0,8634289	1,094692	1,581681
4,5	0,75	380,2821	0,7689711	1,025295	0,9241164	1,065256	1,69993
4,5	0,8	380,224	0,8005417	1,000677	0,9972904	1,041503	1,837426
4,5	0,85	380,283	0,8371359	0,9848657	1,085761	1,023226	1,997233
4,5	0,9	380,4912	0,8806653	0,978517	1,193347	1,010278	2,182807
4,5	0,95	380,8945	0,9337353	0,9828793	1,325294	1,002559	2,397912
4,5	1	381,5563	1	0,9999995	1,488903	1	2,646399
5	0	409,0874	0	4,437792	1	2,299322	1
5	0,05	402,7922	0,177429	3,54858	0,8658642	2,167361	1,001948
5	0,1	398,3314	0,2953371	2,953371	0,7829588	2,033714	1,008036
